Vergangene Minuten;Twitter;Instagram
1; 09:05:50;
2; 09:07:46;
3; 09:08:15;
4; 09:08:16;
5; 09:09:06;
6; 09:10:07;
7; 09:10:10;
8; 09:10:16;
9; 09:10:33;
10; 09:10:36;
11; 09:12:09;
12; 09:13:41;
13; 09:14:00;
14; 09:14:41;
15; 09:14:58;
16; 09:17:56;
17; 09:19:24;
18; 09:20:02;
19; 09:20:02;
20; 09:20:11;
21; 09:23:11;
22; 09:23:13;
23; 09:24:19;
24; 09:25:31;
25; 09:26:59;
26; 09:30:30;
27; 09:31:27;
28; 09:33:03;
29; 09:34:01;
30; 09:34:01;
31; 09:34:58;
32; 09:35:54;
33; 09:36:08;
34; 09:41:30;
35; 09:42:52;
36; 09:43:10;
37; 09:44:37;
38; 09:47:40;
39; 09:47:51;
40; 09:49:42;
41; 09:49:53;
42; 09:53:25;
43; 09:54:40;
44; 09:55:24;
45; 09:56:48;
46; 09:56:55;
47; 09:57:07;
48; 10:00:31;
49; 10:02:39;
50; 10:04:14;
51; 10:05:54;
52; 10:08:07;
53; 10:08:56;
54; 10:12:47;
55; 10:13:12;
56; 10:14:54;
57; 10:16:30;
58; 10:20:25;
59; 10:21:31;
60; 10:22:01;
61; 10:25:22;
62; 10:26:18;
63; 10:26:47;
64; 10:27:34;
65; 10:28:05;
66; 10:28:09;
67; 10:30:49;
68; 10:32:09;
69; 10:32:33;
70; 10:33:39;
71; 10:35:59;
72; 10:36:51;
73; 10:37:17;
74; 10:44:54;
75; 10:46:49;
76; 10:47:52;
77; 10:49:39;
78; 10:51:38;
79; 10:53:15;
80; 10:56:07;
81; 10:59:31;
82; 11:07:39;
83; 11:10:27;
84; 11:19:10;
85; 11:21:18;
86; 11:35:45;
87; 11:42:54;
88; 11:47:22;
89; 12:18:38;
90; 12:30:40;
91; 12:44:28;
92; 12:52:56;
93; 13:12:33;
94; 13:29:02;
95; 13:29:04;
96; 13:33:52;
97; 13:45:01;
98; 13:45:52;
99; 14:09:57;
100; 14:49:12;
101; 15:04:34;
102; 16:14:57;
103; 16:28:17;
104; 17:27:45;
105; 17:42:36;
106; 18:02:47;
107;;
108;;
109;;
110;;
111;;
112;;
113;;
114;;
115;;
116;;
117;;
118;;
119;;
120;;
121;;
122;;
123;;
124;;
125;;
126;;
127;;
128;;
129;;
130;;
131;;
132;;
133;;
134;;
135;;
136;;
137;;
138;;
139;;
140;;
141;;
142;;
143;;
144;;
145;;
146;;
147;;
148;;
149;;
150;;
151;;
152;;
153;;
154;;
155;;
156;;
157;;
158;;
159;;
160;;
161;;
162;;
163;;
164;;
165;;
166;;
167;;
168;;
169;;
170;;
171;;
172;;
173;;
174;;
175;;
176;;
177;;
178;;
179;;
180;;
181;;
182;;
183;;
184;;
185;;
186;;
187;;
188;;
189;;
190;;
191;;
192;;
193;;
194;;
195;;
196;;
197;;
198;;
199;;
200;;
201;;
202;;
203;;
204;;
205;;
206;;
207;;
208;;
209;;
210;;
211;;
212;;
213;;
214;;
215;;
216;;
217;;
218;;
219;;
220;;
221;;
222;;
223;;
224;;
225;;
226;;
227;;
228;;
229;;
230;;
231;;
232;;
233;;
234;;
235;;
236;;
237;;
238;;
239;;
240;;
