Vergangene_Minuten;Twitter_Kommentare
0;1
1;2
2;1
3;2
4;0
5;4
6;1
7;1
8;4
9;1
10;1
11;0
12;1
13;1
14;1
15;1
16;2
17;1
18;0
19;0
20;1
21;1
22;0
23;0
24;0
25;1
26;0
27;0
28;1
29;0
30;0
31;0
32;1
33;1
34;1
35;1
36;1
37;0
38;1
39;1
40;0
41;1
42;0
43;1
44;1
45;1
46;1
47;1
48;0
49;0
50;0
51;0
52;0
53;2
54;0
55;0
56;0
57;1
58;1
59;0
60;1
61;0
62;0
63;1
64;0
65;0
66;0
67;1
68;1
69;0
70;1
71;0
72;0
73;0
74;2
75;0
76;0
77;1
78;0
79;0
80;0
81;0
82;1
83;0
84;0
85;0
86;0
87;1
88;0
89;1
90;0
91;1
92;1
93;0
94;1
95;0
96;0
97;2
98;0
99;1
100;0
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;1
109;0
110;0
111;1
112;0
113;1
114;0
115;1
116;0
117;2
118;1
119;0
120;0
