Date;Comment
29.10.22 01:52:21;@kilianhe_ Super Kommentar, made my day <3
29.10.22 01:55:11;Ja, gestörte Lieferketten und damit Angebotsprobleme gab es auch schon durch Corona
29.10.22 02:03:22;@lorena_230117_
29.10.22 02:33:00;Leute, kleiner Hinweis: wenn ihr keinen Satz ohne Fehler hinbekommt, aber was von höherer Finanzpolitik posaunt, macht ihr euch total zum 🤡. Nur mal so zur Info… Wenn man hier so den ein oder anderen Kommentar liest, bluten einem ja schier die Augen 🤦‍♂️🤦‍♂️🤦‍♂️
29.10.22 02:34:18;@johannes__laurenz ist doch eine super Chance für alle. Unabhängig von seinen Aussagen hat Bitcoin u.a. durchaus eine Daseinsberechtigung. Die Nachfrage steigt von allen Seiten und vor allem die, der weltweit wichtigen Akteure. Kryptowährungen werden in Zukunft eine große Rolle spielen und wer das nicht anerkennt, hat es nicht verstanden 🤷🏻‍♂️
29.10.22 02:45:31;@moritz_zergiebel ganz sicher liegt die Hauptursache woanders aber komplett aus der Verantwortung kann man sie hier definitiv nicht nehmen!!! Die Regierung hat ganz klar Einfluss auf unsere Energieversorgung und somit auch zu einem Teil auf die Preise 😮 wer das nicht versteht ist sich nicht besonders Klever
29.10.22 02:46:26;@moritz_zergiebel die können aber was für die hohen Energiepreise
29.10.22 03:14:10;@lionsalzwdl Nobel von dir, macht selten Jemand und gibt sowas zu. Hut ab ☺️ (Kein Sarkasmus)
29.10.22 03:14:11;@lionsalzwdl Nobel von dir, macht selten Jemand und gibt sowas zu. Hut ab ☺️ (Kein Sarkasmus)
29.10.22 07:06:04;Während der Rubel steigt, sinkt der Euro 😹
29.10.22 07:15:28;„Energie“ ist der Bitcoin der „Zukunft“
29.10.22 07:16:27;Danke Grünen!
29.10.22 07:16:35;Leuuuuude, voraussichtlich mit einem ‚r‘! Ihr seid die Tagesschau!
29.10.22 07:17:45;@npc_gamer05 wenn du kein geld hast kannste keine schulden bezaheln, also bitte zerstör den joke einf nd, danke
29.10.22 07:17:47;Achso und ich dachte die Inflation entsteht, weil die EZB und andere Banken nicht aufhören Geld zu drucken wie die Weltmeister. Man sollte mal nen Blick drauf werfen, wieviel Geld seit Beginn der Corona Krise gedruckt und in Umlauf gebracht worden ist. Das ist der ygrund fuer die Inflation, das hat nichts mit den Energiepreise zu tun
29.10.22 07:18:19;Ezb:😶‍🌫️😴😴😴
